CQI,MCS,BRATE(DW),BLER(DW),SNR,PHR,BLER(UP),BRATE(UP),CLASS
15.0,26.8,2240000.0,0,15.8,25.6,11.5,444,1280
15.0,26.7,2110000.0,0,15.4,26.9,11.1,408,1280
15.0,26.2,1850000.0,0,13.4,22.4,9.15,370,1920
15.0,26.8,2320000.0,0,17.1,25.0,12.7,440,1920
15.0,26.7,2630000.0,0,15.6,24.6,11.2,506,1920
15.0,25.8,856000.0,0,15.4,24.2,11.4,197,1920
15.0,25.6,938000.0,0,14.2,22.8,10.1,201,1280
15.0,26.0,1140000.0,0,13.3,23.4,9.38,227,1280
15.0,25.8,999000.0,0,13.6,24.3,9.60,210,1280
15.0,25.7,1170000.0,0,15.3,22.9,11.2,243,1280
15.0,26.0,1000000.0,0,15.2,24.7,10.9,175,1920
15.0,25.9,1080000.0,0,17.3,24.5,12.6,190,1920
15.0,25.6,825000.0,0,17.7,24.5,13.2,182,1920
15.0,26.6,2320000.0,0,17.7,24.8,13.0,434,1920
15.0,26.8,2010000.0,0,17.8,26.8,13.3,377,1280
15.0,26.4,2300000.0,0,18.0,26.3,13.3,459,1280
15.0,26.9,2850000.0,0,18.1,27.1,13.5,508,1280
15.0,25.8,1380000.0,0,17.4,24.3,13.2,294,1280
15.0,26.6,2630000.0,0,18.1,25.7,13.2,494,1280
15.0,26.9,2770000.0,0,17.5,25.3,12.9,510,1280
15.0,25.5,784000.0,0,16.9,23.8,12.8,195,1280
15.0,25.9,1050000.0,0,17.4,22.7,13.3,210,1280
15.0,26.2,1050000.0,0,17.8,23.5,13.5,218,1920
15.0,26.0,1019999.0,0,16.5,23.3,12.8,453,1920
15.0,25.9,1060000.0,0,17.8,23.4,13.3,223,1920
15.0,26.9,2310000.0,0,16.0,25.4,11.6,641,1920
15.0,26.8,1889999.0,0,15.5,25.2,11.1,356,1920
15.0,25.1,703000.0,0,13.8,23.8,9.52,250,1920
15.0,25.2,270000.0,0,14.7,23.2,10.6,145,1920
15.0,26.7,2340000.0,0,17.3,24.9,12.6,452,1920
15.0,26.9,2740000.0,0,17.7,26.1,12.5,478,1920
15.0,25.5,640000.0,0,15.1,24.5,10.2,165,1920
15.0,25.4,968000.0,0,16.0,25.2,10.8,216,1920
13.8,24.6,1450000.0,0,21.4,24.0,13.7,376,1920
14.4,24.8,1230000.0,8.0,17.1,23.2,11.7,287,1920
14.4,25.9,2320000.0,6.4,18.9,22.9,12.2,417,1920
14.7,26.5,1800000.0,4.1,17.6,25.6,12.0,321,1920
14.9,26.5,2070000.0,6.3,18.4,27.2,13.7,377,1920
14.6,25.8,1560000.0,3.5,19.1,25.4,14.2,285,1920
14.8,26.3,1760000.0,0,18.0,26.6,12.9,362,1920
14.2,26.6,1639999.0,5.2,18.4,25.0,12.7,240,1920
15.0,26.7,2640000.0,0,18.9,25.3,13.9,478,1920
15.0,26.8,1689999.0,4.0,18.4,26.0,13.2,289,1920
14.9,25.7,833000.0,3.5,19.6,24.5,13.6,176,1920
15.0,25.7,819999.0,1.1,20.3,23.2,14.5,164,1920
15.0,25.3,855000.0,0,19.6,23.6,14.2,225,1920
15.0,25.7,1060000.0,0,20.4,24.6,14.6,210,1920
15.0,26.0,1140000.0,0,20.5,22.9,14.5,224,1920
15.0,25.5,787000.0,0,20.1,24.5,14.3,176,1920
15.0,26.4,2210000.0,0,20.7,24.1,14.2,398,1920
15.0,6.00,968,0,19.8,23.0,15.0,8.53,1920
15.0,26.0,1380000.0,0,20.6,22.9,14.7,262,1920
15.0,25.9,802999.0,0,20.2,23.9,13.9,166,1920
15.0,26.6,2280000.0,0,20.3,23.6,14.6,390,1920
15.0,26.4,581000.0,0,20.0,23.0,14.1,114,1920
15.0,8.00,960,0,20.0,23.0,15.0,8.53,1920
15.0,25.8,875000.0,0,20.6,23.0,14.6,177,1920
15.0,26.4,2180000.0,0,20.5,23.0,14.5,388,1920
15.0,26.2,1000000.0,0,20.4,23.3,14.3,199,1920
15.0,26.7,2420000.0,0,20.2,23.6,14.2,423,1920
15.0,26.7,819999.0,0,20.3,23.0,14.6,139,1920
15.0,26.6,1689999.0,0,20.2,23.0,14.6,296,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1920
15.0,26.5,1739999.0,0,20.2,23.5,14.3,292,1920
15.0,26.8,1420000.0,0,20.3,23.0,14.4,250,1920
15.0,6.00,968,0,20.7,23.0,15.0,8.53,1920
15.0,25.1,263000.0,0,20.4,23.7,14.6,62.5,1920
15.0,26.5,2310000.0,0,20.3,23.6,14.3,380,1920
15.0,26.4,1090000.0,0,20.3,23.0,14.1,197,1920
15.0,26.7,2440000.0,0,20.2,23.2,14.5,446,1920
15.0,26.8,910000.0,0,19.7,23.6,14.2,163,1920
15.0,6.00,968,0,21.1,23.0,15.0,8.53,1920
15.0,26.2,1190000.0,0,20.2,23.0,14.2,228,1920
15.0,26.7,2410000.0,0,20.1,23.0,14.5,437,1920
15.0,0.0,56.0,0,21.1,23.0,15.0,4.26,1920
15.0,6.00,968,0,20.9,23.0,15.0,8.53,1920
15.0,26.4,1450000.0,0,20.1,24.0,14.4,249,1920
15.0,26.8,2039999.0,0,20.2,23.0,14.4,362,1920
15.0,8.00,960,0,20.7,23.0,15.0,8.53,1920
15.0,26.4,1350000.0,0,20.0,23.6,14.4,258,1920
15.0,26.7,1720000.0,0,20.2,23.0,14.3,334,1920
15.0,8.00,960,0,20.9,23.0,15.0,8.53,1920
15.0,26.5,1410000.0,0,20.3,23.0,14.6,248,1920
15.0,26.8,1610000.0,0,20.3,23.0,14.4,298,1920
15.0,26.4,1380000.0,0,19.9,23.5,14.7,245,1920
15.0,26.8,2490000.0,0,19.7,23.5,14.4,421,1920
15.0,0.0,56.0,0,20.9,23.0,15.0,4.26,1920
15.0,8.00,960,0,19.8,23.0,15.0,8.53,1920
15.0,25.8,405999.04,0,20.3,22.9,14.9,124,1920
15.0,25.6,1200000.0,0,19.9,23.8,14.2,250,1920
15.0,25.9,1290000.0,0,20.2,23.0,14.7,277,1920
15.0,13.0,37.7,0,19.8,22.8,14.6,21.2,1920
15.0,26.5,1320000.0,0,20.1,23.0,14.3,230,1920
15.0,26.4,826000.0,0,20.4,23.4,14.6,171,1920
15.0,25.6,1210000.0,0,20.3,23.0,14.1,261,1920
15.0,26.0,1760000.0,0,20.2,23.8,14.5,344,1920
15.0,6.00,968,0,20.2,23.0,15.0,8.53,1920
15.0,26.4,1130000.0,0,20.2,23.0,14.6,210,1920
15.0,26.7,2010000.0,0,20.3,23.4,14.4,347,1920
15.0,25.9,1140000.0,0,20.3,23.0,14.7,250,1920
15.0,26.4,2210000.0,0,20.4,23.0,14.7,413,1920
15.0,26.3,1070000.0,0,20.2,23.0,14.5,217,1920
15.0,8.00,960,0,19.3,24.0,15.0,8.53,1920
15.0,25.8,280000.0,0,19.3,24.0,14.6,64.0,1920
15.0,26.4,2140000.0,1.2,18.8,24.1,14.4,387,1920
15.0,26.6,1150000.0,2.3,18.8,24.4,14.1,182,1920
15.0,8.00,960,0,22.0,24.0,15.0,8.53,1920
14.7,26.4,1460000.0,6.6,18.9,25.2,13.3,220,1920
14.8,26.6,2020000.0,3.1,16.0,25.4,11.3,306,1920
15.0,18.0,968,0,8.60,22.0,6.50,7.50,1920
15.0,26.5,1170000.0,0,9.58,19.4,4.30,213,1920
15.0,26.6,1450000.0,0,10.8,20.6,5.95,349,1920
15.0,23.4,959,0,12.5,20.9,8.30,100,1920
15.0,26.6,2000000.0,0,10.8,20.9,6.23,344,1920
15.0,25.8,509999.04,0,20.0,24.0,15.0,213,1920
15.0,25.7,1120000.0,0,19.3,24.0,13.8,248,1920
15.0,25.8,1470000.0,0,19.3,24.2,14.4,311,1920
15.0,23.9,125000.0,0,19.4,24.0,14.4,104,1920
